,t,max_mut,average_wt_hamming,frac_above_thresh,n_muts_seen,n_muts_sampled
0,1.0,8.0,3.7624113475177303,0.6914893617021277,282.0,300.0
1,1.0,13.0,6.13840830449827,0.45674740484429066,289.0,300.0
2,0.5,17.0,7.06993006993007,0.43006993006993005,286.0,300.0
3,1.0,14.0,6.537906137184115,0.5234657039711191,277.0,300.0
4,1.0,16.0,7.559859154929577,0.4119718309859155,284.0,300.0
5,10.0,15.0,12.10948905109489,0.010948905109489052,274.0,300.0
6,2.0,9.0,5.2140350877192985,0.44912280701754387,285.0,300.0
7,2.5,10.0,6.218637992831542,0.30824372759856633,279.0,300.0
8,0.7,10.0,4.393728222996516,0.6515679442508711,287.0,300.0
9,0.6,10.0,4.288732394366197,0.6795774647887324,284.0,300.0
10,2.5,13.0,8.0,0.1972318339100346,289.0,300.0
11,0.5,16.0,6.843971631205674,0.524822695035461,282.0,300.0
12,1.0,11.0,5.118881118881119,0.548951048951049,286.0,300.0
13,2.0,14.0,8.17921146953405,0.22939068100358423,279.0,300.0
14,2.0,10.0,5.76978417266187,0.4028776978417266,278.0,300.0
15,3.0,15.0,9.657243816254416,0.10600706713780919,283.0,300.0
16,1.0,9.0,4.083623693379791,0.6236933797909407,287.0,300.0
17,0.6,5.0,2.2037735849056603,0.8113207547169812,265.0,300.0
18,2.5,9.0,5.6537102473498235,0.36395759717314485,283.0,300.0
19,0.5,6.0,2.6153846153846154,0.8095238095238095,273.0,300.0
20,0.5,10.0,4.274647887323944,0.676056338028169,284.0,300.0
21,0.3,5.0,2.13671875,0.8203125,256.0,300.0
22,1.0,15.0,7.0285714285714285,0.3892857142857143,280.0,300.0
23,3.0,7.0,4.5234657039711195,0.4296028880866426,277.0,300.0
24,2.0,11.0,6.313588850174216,0.3554006968641115,287.0,300.0
25,10.0,5.0,4.059233449477352,0.29965156794425085,287.0,300.0
26,0.5,9.0,3.683453237410072,0.7338129496402878,278.0,300.0
27,2.5,7.0,4.398576512455516,0.5373665480427047,281.0,300.0
28,1.0,10.0,4.628472222222222,0.59375,288.0,300.0
29,4.0,5.0,3.4731182795698925,0.5125448028673835,279.0,300.0
30,1.0,18.0,8.501742160278745,0.3310104529616725,287.0,300.0
31,5.0,10.0,7.40625,0.125,288.0,300.0
32,1.0,12.0,5.49645390070922,0.574468085106383,282.0,300.0
33,2.5,5.0,3.1338028169014085,0.6338028169014085,284.0,300.0
34,2.5,8.0,4.879432624113475,0.4326241134751773,282.0,300.0
35,2.0,13.0,7.430604982206406,0.2491103202846975,281.0,300.0
36,0.4,10.0,4.055749128919861,0.6341463414634146,287.0,300.0
37,3.0,11.0,7.080985915492958,0.25704225352112675,284.0,300.0
38,5.0,15.0,10.847517730496454,0.05319148936170213,282.0,300.0
39,1.0,19.0,8.97887323943662,0.31690140845070425,284.0,300.0
40,1.0,5.0,2.489130434782609,0.7934782608695652,276.0,300.0
41,0.5,19.0,7.763888888888889,0.3993055555555556,288.0,300.0
42,4.0,10.0,7.01056338028169,0.176056338028169,284.0,300.0
43,3.0,12.0,7.756944444444445,0.1840277777777778,288.0,300.0
44,3.0,8.0,5.171929824561404,0.37543859649122807,285.0,300.0
45,3.0,13.0,8.284722222222221,0.14930555555555555,288.0,300.0
46,3.0,5.0,3.2872340425531914,0.5709219858156028,282.0,300.0
47,2.5,11.0,6.747404844290657,0.28027681660899656,289.0,300.0
48,4.0,15.0,10.414893617021276,0.06028368794326241,282.0,300.0
49,2.5,15.0,9.34020618556701,0.15120274914089346,291.0,300.0
50,0.5,15.0,6.389285714285714,0.4785714285714286,280.0,300.0
51,0.5,8.0,3.423357664233577,0.7408759124087592,274.0,300.0
52,2.5,14.0,8.726643598615917,0.19377162629757785,289.0,300.0
53,0.1,5.0,2.003787878787879,0.8712121212121212,264.0,300.0
54,20.0,15.0,12.653386454183266,0.01593625498007968,251.0,300.0
55,0.1,15.0,5.6571428571428575,0.5392857142857143,280.0,300.0
56,2.0,12.0,6.857651245551601,0.29537366548042704,281.0,300.0
57,0.5,7.0,2.985611510791367,0.7985611510791367,278.0,300.0
58,2.0,7.0,3.915492957746479,0.6126760563380281,284.0,300.0
59,20.0,10.0,8.416666666666666,0.04513888888888889,288.0,300.0
60,0.5,5.0,2.2771535580524342,0.797752808988764,267.0,300.0
61,2.0,5.0,2.97864768683274,0.6654804270462633,281.0,300.0
62,10.0,10.0,8.166666666666666,0.05673758865248227,282.0,300.0
63,0.7,15.0,6.468085106382978,0.5460992907801419,282.0,300.0
64,0.5,20.0,8.43661971830986,0.41901408450704225,284.0,300.0
65,0.5,18.0,7.660777385159011,0.3957597173144876,283.0,300.0
66,8.0,15.0,11.731617647058824,0.014705882352941176,272.0,300.0
67,2.5,6.0,3.7263157894736842,0.5684210526315789,285.0,300.0
68,20.0,5.0,4.351916376306621,0.24738675958188153,287.0,300.0
69,5.0,5.0,3.6529209621993126,0.422680412371134,291.0,300.0
70,3.0,9.0,5.783687943262412,0.3546099290780142,282.0,300.0
71,0.5,13.0,5.394833948339484,0.5202952029520295,271.0,300.0
72,0.5,11.0,4.580985915492958,0.6267605633802817,284.0,300.0
73,8.0,5.0,3.9340277777777777,0.3090277777777778,288.0,300.0
74,3.0,10.0,6.670175438596491,0.20701754385964913,285.0,300.0
75,0.4,5.0,2.159695817490494,0.8288973384030418,263.0,300.0
76,0.3,15.0,6.28125,0.5138888888888888,288.0,300.0
77,0.6,15.0,6.48014440433213,0.48014440433212996,277.0,300.0
78,3.0,14.0,9.225352112676056,0.11619718309859155,284.0,300.0
79,0.5,14.0,5.851590106007067,0.5406360424028268,283.0,300.0
80,3.0,6.0,3.830449826989619,0.5190311418685121,289.0,300.0
81,0.7,5.0,2.4354243542435423,0.8413284132841329,271.0,300.0
82,2.0,6.0,3.4599303135888504,0.5818815331010453,287.0,300.0
83,2.5,12.0,7.2596491228070175,0.2771929824561403,285.0,300.0
84,1.0,7.0,3.1785714285714284,0.7535714285714286,280.0,300.0
85,0.3,10.0,4.141304347826087,0.6884057971014492,276.0,300.0
86,1.0,20.0,9.464788732394366,0.2640845070422535,284.0,300.0
87,0.1,10.0,3.9621993127147768,0.6769759450171822,291.0,300.0
88,1.0,6.0,2.978494623655914,0.7455197132616488,279.0,300.0
89,0.4,15.0,6.120996441281139,0.5480427046263345,281.0,300.0
90,1.0,17.0,8.12280701754386,0.3263157894736842,285.0,300.0
91,0.5,12.0,4.968085106382978,0.6170212765957447,282.0,300.0
92,2.0,8.0,4.583916083916084,0.5104895104895105,286.0,300.0
93,2.0,15.0,8.620567375886525,0.21631205673758866,282.0,300.0
94,8.0,10.0,8.020833333333334,0.09375,288.0,300.0
